,gross,sales
La La Land,83.0,21
Donnie Darko,80.0,20
Black Widow,268.0,68
Another Round,61.0,16
Amélie,78.0,21
Pulp Fiction,395.0,102
Brokeback Mountain,24.0,6
Spirited Away,403.0,102
In the Heights,332.0,84
Nomadland,34.0,9
Free Guy,258.0,66
The Suicide Squad,275.0,70
The Princess Bride,38.0,10
Shaun of the Dead,67.0,17
Candyman,99.0,25
Interstellar,242.0,62
The Breakfast Club,56.0,14
Our Ladies,4.0,1
Old,26.0,7
Minari [s],67.0,18
Reminiscence,0.0,0
Reminiscence - Late,0.0,0
Freaky,56.0,15
Zola,14.0,4
Deerskin,16.0,4
Raya and the Last Dragon,39.0,10
Respect - Early,53.0,14
Respect - Late,72.0,18
Citizen Kane,52.0,14
- Late: Citizen Kane,9.0,3
The Father,41.0,11
LIMBO,18.0,5
The Imitation Game,16.0,4
The Night House,32.0,8
Lord of the Rings AllNighter!!!,627.0,63
Shang-Chi and the Legend of the Ten Rings - Early,543.0,140
Shang-Chi and the Legend of the Ten Rings - Late,331.0,86
Gunpowder Milkshake,7.0,2
New Order,6.0,2
Stillwater,3.0,1
Wildland,8.0,2
TENET in 70mm - Early,64.0,18
TENET in 70mm - Late,52.0,14
A Quiet Place,55.0,14
A Quiet Place Part II,120.0,31
I'm Your Man,12.0,3
Pig,44.0,11
First Cow,0.0,0
The Green Knight,21.0,7
The Green Knight - Late,15.0,4
Little Miss Sunshine,27.0,7
Once Upon a Time in Hollywood,20.0,5
Annette,30.0,9
In the Earth,3.0,1
Phantom Thread,57.0,16
The Nest,3.0,1
American Psycho - Early,55.0,15
American Psycho - Late,46.0,12
Malignant - Early,35.0,9
Malignant - Late,35.0,9
Venom: Let There Be Carnage,243.0,64
Summer of Soul,20.0,5
Sweet Thing,12.0,3
Mamma Mia!,134.0,36
The Last Duel - Early,54.0,16
The Last Duel - Late,24.0,7
Dune (2021) - Early,351.0,90
Dune (2021) - Late,244.0,64
Perfect Blue,137.0,39
Ammonite,26.0,7
Moonlight,95.0,26
Herself,0.0,0
The French Dispatch - Early,244.0,63
The French Dispatch - Late,180.0,48
No Time To Die - Early,238.0,62
No Time To Die - Late,148.0,38
Dune (1984) - 70mm,47.0,12
Gagarine,3.0,1
Ron's Gone Wrong,19.0,5
Taxi Driver,170.0,46
Last Night in Soho,145.0,39
Last Night in Soho - Late,95.0,25
The Card Counter - Early,15.0,4
The Card Counter - Late,10.0,3
Dear Evan Hansen,116.0,31
Azor,0.0,0
Love Actually,286.0,76
The Iron Giant,3.0,1
Silent Night,0.0,0
Antlers,0.0,0
The Room,124.0,34
Eternals - Early,49.0,13
Eternals - Late,43.0,12
Ghostbusters: Afterlife - Early,0.0,0
Ghostbusters: Afterlife - Late,0.0,0
Spencer,57.0,16
Vertigo,56.0,16
Notting Hill,55.0,15
Resident Evil: Welcome to Raccoon City,38.0,10
House of Gucci - Early,109.0,28
House of Gucci - Late,82.0,21
King Richard - Early,33.0,9
King Richard - Late,16.0,4
Drive My Car [s],116.0,31
Pirates,8.0,2
Mothering Sunday,0.0,0
Your Name [s],148.0,40
Encanto - Early,121.0,32
Encanto - Late,105.0,27
The Matrix Resurrections - Early,0.0,0
The Matrix Resurrections - Late,0.0,0
Capernaum,28.0,7
Harry Potter and the Philosopher's Stone,0.0,0
Petite Maman,53.0,14
Dirty Dancing,155.0,40
Blue Bayou,15.0,4
Spider-Man: No Way Home - Early,428.0,112
Spider-Man: No Way Home - Late,329.0,85
Inception - Early,113.0,30
Inception - Late,66.0,17
C'mon C'mon,59.0,17
Audition,38.0,12
Boiling Point,40.0,11
Tadap,30.0,8
West Side Story (2021) - Early,82.0,23
West Side Story (2021) - Late,106.0,27
Die Hard (70mm) - Early,24.0,7
Die Hard (70mm) - Late,12.0,3
The 355,16.0,5
Dead Poets Society,87.0,24
Memoria,65.0,17
Tokyo Story,58.0,16
The King's Man - Early,100.0,26
The King's Man - Late,63.0,16
Titane [s] - Early,44.0,12
Titane [s] - Late,17.0,5
Bad Luck Banging,8.0,2
No Country For Old Men,50.0,13
The Godfather,161.0,43
Nightmare Alley - Early,27.0,7
Nightmare Alley - Late,16.0,4
Belfast - Early,38.0,10
Belfast - Late,31.0,8
The Tragedy of Macbeth,52.0,14
Sing 2,77.0,20
A Journal for Jordan,3.0,1
"The Way, Way Back",10.0,3
Kill Bill: Vol. 1,94.0,26
Kill Bill: Vol. 2,61.0,18
Licorice Pizza - Early,92.0,25
Licorice Pizza - Late,32.0,9
Belle,89.0,23
Parallel Mothers,28.0,8
The Handmaiden,43.0,12
Ocean's Eleven - Early,7.0,2
Ocean's Eleven - Late,33.0,9
Dr. Strangelove - Early,38.0,11
Dr. Strangelove - Late,115.0,30
The Eyes of Tammy Faye,9.0,3
Petrov's Flu,11.0,3
Marry Me,8.0,2
The Prince of Egypt,15.0,4
Uncharted,53.0,14
CODA,21.0,6
The Shawshank Redemption - Early,29.0,8
The Shawshank Redemption - Late,42.0,11
The Batman - Early,131.0,36
The Batman - Late,32.0,8
Barry Lyndon,36.0,10
Jackass Forever,15.0,5
Red Rocket,0.0,0
The Souvenir Part II,0.0,0
Death on the Nile - Early,17.0,5
Death on the Nile - Late,49.0,13
Morbius - Early,46.0,12
Morbius - Late,42.0,11
The Bad Guys,38.0,10
X,70.0,19
The Worst Person in the World,75.0,20
The Lost City,61.0,16
The Power of the Dog - Early,8.0,2
The Power of the Dog - Late,0.0,0
Sonic the Hedgehog 2 - Early,28.0,7
Sonic the Hedgehog 2 - Late,34.0,9
Fargo,32.0,9
Maquia: When the Promised Flower Blooms,7.0,2
The Unbearable Weight of Massive Talent,44.0,12
Pretty Woman,26.0,8
The Northman - Early,39.0,11
The Northman - Late,49.0,13
Fantastic Beasts: The Secrets of Dumbledore - Early,68.0,18
Fantastic Beasts: The Secrets of Dumbledore - Late,32.0,9
The Dark Knight - Early,102.0,27
The Dark Knight - Late,49.0,13
Pirates of the Caribbean: The Curse of the Black Pearl - Early,34.0,10
Pirates of the Caribbean: The Curse of the Black Pearl - Late,55.0,15
Doctor Strange in the Multiverse of Madness - Early,90.0,24
Doctor Strange in the Multiverse of Madness - Late,92.0,24
Everything Everywhere All at Once - Early,143.0,38
Everything Everywhere All at Once - Late,62.0,16
Catch Me If You Can - Early,26.0,7
Catch Me If You Can - Late,12.0,3
Minority Report,3.0,1
The Outfit,0.0,0
The Lego Movie,15.0,5
Almost Famous,0.0,0
Mulholland Drive - Early,0.0,0
Mulholland Drive - Late,0.0,0
Top Gun: Maverick - Early,19.0,5
Top Gun: Maverick - Late,4.0,1
Benedetta,0.0,0
The Royal Tenenbaums,0.0,0
